"","TypNum","MenTau","MedTau","Network"
"1","1",0.548064381673387,0.480037101,"EndAll"
"2","2",0.512728958331081,0.4240300775,"EndAll"
"3","3",0.52363286116129,0.389367435,"EndAll"
"4","4+",0.704760670145161,0.7904208065,"EndAll"
"5","1",0.371406389855432,0.273292028,"EndPin"
"6","2",0.317889298064126,0.2302854895,"EndPin"
"7","3",0.279135522771639,0.210639443,"EndPin"
"8","4+",0.261235832410828,0.1932076825,"EndPin"
"9","1",0.489821672978316,0.3667706835,"EndC90"
"10","2",0.432809074245528,0.308008371,"EndC90"
"11","3",0.36650957459292,0.257281142,"EndC90"
"12","4+",0.393726833677491,0.237165958,"EndC90"
"13","1",0.410947134261209,0.232075668,"EndC95"
"14","2",0.386533717908537,0.2067438235,"EndC95"
"15","3",0.399101723184492,0.213529565,"EndC95"
"16","4+",0.7289889434464,0.834018432,"EndC95"
"17","1",0.507293322472119,0.4256455775,"EndKgo"
"18","2",0.517685467290789,0.4435897045,"EndKgo"
"19","3",0.514036525531568,0.440804703,"EndKgo"
"20","4+",0.459328416413194,0.3355697175,"EndKgo"
